"incubationID","sampleID","tripID","startDate","dateKilled","timeKilled","depth","t","durationInDays","durationSinceTimepointInDays","filtered","amendment","treatment","MeHg_ambient_ppt","MeHg_198_ppt","MeHg_204_ppt","MeHg_excess_DDL","MeHg_DOA","MeHg_198_above_DDL","bottleID_MeHg","HgT_ambient_ppt","HgT_198_ppt","HgT_204_ppt","HgT_excess_DDL","HgT_DOA","bottleID_HgT","percent_amb_MeHg","percent_198_MeHg","percent_204_MeHg"
"BLiMMP_MA_0063","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-09","19:29",16.18,"t0",0,0,"no","molybdate","unfiltered-molybdate",0.395,0.006,0.735,0.005,"1901-01-01",TRUE,"MSC534AR",1.71183810680584,0.925493283799028,0.860798067830031,0.0332486015988663,"2020-04-07","MSC534AR",23.0746119291058,0.648302921807362,85.3858793913011
"BLiMMP_MA_0063","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-10","19:12",16.18,"t1",0.988194,0.988194,"no","molybdate","unfiltered-molybdate",0.293,0.004,0.391,0.002,"1901-01-01",TRUE,"MSC579AR",1.32384317321141,0.695787719447386,0.486035595494161,0.0279884609992692,"2020-03-04","MSC579AR",22.1325309469424,0.574887984970029,80.4467828333568
"BLiMMP_MA_0064","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-09","20:20",16.18,"t0",0,0,"no","starch","unfiltered-starch",0.42,-0.001,0.591,0.005,"1901-01-01",FALSE,"MSC542AR",2.194047382642,0.831719777657614,0.80349717051652,0.0440048707233899,"2020-04-02","MSC542AR",19.1427041787151,-0.120232802785611,73.5534637440082
"BLiMMP_MA_0064","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-10","18:35",16.18,"t1",0.927083,0.927083,"no","starch","unfiltered-starch",0.361,0.02,0.344,0.003,"1901-01-01",TRUE,"MSC571AR",1.21371487361276,0.681460200262325,0.560306039295362,0.0235736791504584,"2020-04-07","MSC571AR",29.7433942558058,2.93487425858489,61.3950191278703
"BLiMMP_MA_0065","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-09","20:34",16.18,"t0",0,0,"no","unamended","unfiltered-unamended",0.621,0.003,0.667,0.008,"1901-01-01",FALSE,"MSC544AR",1.43476144776635,0.585802744180419,0.545010644668554,0.0278670112416225,"2020-04-07","MSC544AR",43.2824565342745,0.512117778518983,122.382930778468
"BLiMMP_MA_0065","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-10","18:22",16.18,"t1",0.908333,0.908333,"no","unamended","unfiltered-unamended",0.343,0.027,0.377,0.003,"1901-01-01",TRUE,"MSC568AR",1.4875187777775,0.749006726150942,0.604970978722356,0.0298343928360796,"2020-04-02","MSC568AR",23.0585324450476,3.60477403704368,62.3170388761771
"BLiMMP_MA_0066","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-09","20:40",16.18,"t0",0,0,"no","algal","unfiltered-algal",0.387,-0.001,0.617,0.005,"1901-01-01",FALSE,"MSC545AR",1.68268052418049,0.697854155547093,0.650851977120242,0.0355749375592651,"2020-03-04","MSC545AR",22.9990181997548,-0.143296416887571,94.7988208824342
"BLiMMP_MA_0066","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-10","18:31",16.18,"t1",0.910417,0.910417,"no","algal","unfiltered-algal",0.285,0.007,0.36,0.002,"1901-01-01",TRUE,"MSC570AR",1.57004190693106,0.565012794213999,0.559885774286037,0.0304945296225935,"2020-04-07","MSC570AR",18.1523817129879,1.23890999844311,64.2988296066407
"BLiMMP_MA_0067","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-09","20:09",16.18,"t0",0,0,"no","starch-molybdate","unfiltered-starch-molybdate",0.504,-0.001,0.694,0.004,"1901-01-01",FALSE,"MSC540AR",3.50600641312442,0.78953176575824,0.754496033226164,0.0703181527370369,"2020-04-02","MSC540AR",14.3753302365142,-0.126657348490549,91.9819282591205
"BLiMMP_MA_0067","BLiMMP_sample_0034","BLiMMP_trip_006","2019-10-08","2019-10-10","18:43",16.18,"t1",0.940278,0.940278,"no","starch-molybdate","unfiltered-starch-molybdate",0.313,0.003,0.391,0.003,"1901-01-01",TRUE,"MSC573AR",1.32736124622105,0.701733954490882,0.507665960369023,0.0266221962685506,"2020-04-02","MSC573AR",23.5806191337211,0.427512446960977,77.0191485195859
"BLiMMP_MA_0068","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-09","21:27",19.3,"t0",0,0,"no","unamended","unfiltered-unamended",0.759,0,0.446,0.006,"1901-01-01",FALSE,"MSC550AR",1.32732049119028,0.769548120045561,0.707077505610862,0.0280619778482456,"2020-03-04","MSC550AR",57.182873694609,0,63.0765363713119
"BLiMMP_MA_0068","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-10","18:07",19.3,"t1",0.861111,0.861111,"no","unamended","unfiltered-unamended",0.499,0.024,0.3,0.004,"1901-01-01",TRUE,"MSC565AR",1.4199803046788,0.721802993782827,0.660710992958873,0.0300209754308158,"2020-03-04","MSC565AR",35.1413324787538,3.32500699037292,45.4056316902652
"BLiMMP_MA_0069","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-09","21:58",19.3,"t0",0,0,"yes","unamended","filtered-unamended",0.496,0.002,0.429,0.004,"1901-01-01",FALSE,"MSC556AR",2.46731037687672,0.925706683747332,0.858376580983672,0.0479219497541115,"2020-04-07","MSC556AR",20.1028619928988,0.216051156928439,49.9780643489108
"BLiMMP_MA_0069","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-10","17:34",19.3,"t1",0.816667,0.816667,"yes","unamended","filtered-unamended",0.39,0.004,0.265,0.003,"1901-01-01",TRUE,"MSC559AR",1.44392483639518,0.716245549577603,0.65866363655114,0.0272926259832794,"2020-04-03","MSC559AR",27.0097161687205,0.558467693427059,40.2329786091698
"BLiMMP_MA_0070","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-09","21:55",19.3,"t0",0,0,"no","starch","unfiltered-starch",0.503,0.001,0.392,0.006,"1901-01-01",FALSE,"MSC555AR",2.22896515985477,0.680022699754873,0.627769443909101,0.0471243918522381,"2020-03-04","MSC555AR",22.5665258954865,0.147053914576744,62.4433068228087
"BLiMMP_MA_0070","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-10","17:42",19.3,"t1",0.824306,0.824306,"no","starch","unfiltered-starch",0.542,0.011,0.214,0.004,"1901-01-01",TRUE,"MSC560AR",1.5747567959353,0.793505847590858,0.619825816649728,0.0315840805326946,"2020-04-02","MSC560AR",34.4180130797967,1.38625317423896,34.5258287492298
"BLiMMP_MA_0071","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-09","21:35",19.3,"t0",0,0,"yes","unamended","filtered-unamended",0.382,0,0.518,0.003,"1901-01-01",FALSE,"MSC552AR",1.37617812879019,1.17646270681374,1.08034159124661,0.0267291621510842,"2020-04-07","MSC552AR",27.7580345166377,0,47.9477976407699
"BLiMMP_MA_0071","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-10","17:56",19.3,"t1",0.847917,0.847917,"yes","unamended","filtered-unamended",0.293,0.001,0.262,0.002,"1901-01-01",FALSE,"MSC562AR",1.19453342582344,0.879245925398651,0.740975719218547,0.025254616919525,"2020-03-04","MSC562AR",24.5284052891215,0.113733822485057,35.3587834532976
"BLiMMP_MA_0072","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-09","21:46",19.3,"t0",0,0,"no","molybdate","unfiltered-molybdate",0.67,0.002,0.557,0.008,"1901-01-01",FALSE,"MSC554AR",4.34185683738588,1.07051000182319,1.08068307402797,0.0870823713016447,"2020-04-02","MSC554AR",15.431185897953,0.186826839225584,51.5414753304059
"BLiMMP_MA_0072","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-10","17:27",19.3,"t1",0.820139,0.820139,"no","molybdate","unfiltered-molybdate",0.501,0.004,0.378,0.004,"1901-01-01",TRUE,"MSC558AR",1.68716407925094,0.896600392329071,0.773245367733631,0.0338385751301247,"2020-04-02","MSC558AR",29.6948000589505,0.446129628563883,48.8848709314498
"BLiMMP_MA_0073","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-09","21:41",19.3,"t0",0,0,"no","algal","unfiltered-algal",0.604,0.001,0.489,0.007,"1901-01-01",FALSE,"MSC553AR",1.69723278877732,0.856422851831912,0.807153449098592,0.0320805754863961,"2020-04-03","MSC553AR",35.587339815366,0.116764749779968,60.5832757756412
"BLiMMP_MA_0073","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-10","17:52",19.3,"t1",0.840972,0.840972,"no","algal","unfiltered-algal",0.366,0.005,0.268,0.003,"1901-01-01",TRUE,"MSC561AR",1.86608913016548,0.792978363392101,0.721962130919759,0.0352722464475504,"2020-04-03","MSC561AR",19.6132110778409,0.630534227770307,37.1210605823017
"BLiMMP_MA_0074","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-09","21:31",19.3,"t0",0,0,"no","unamended","unfiltered-unamended",0.586,-0.001,0.507,0.007,"1901-01-01",FALSE,"MSC551AR",1.59451104002315,0.939556004328843,0.868921403882472,0.0319802811636387,"2020-04-02","MSC551AR",36.7510782485076,-0.106433250960312,58.3482001634035
"BLiMMP_MA_0074","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-10","18:01",19.3,"t1",0.854167,0.854167,"no","unamended","unfiltered-unamended",0.406,0.027,0.309,0.003,"1901-01-01",TRUE,"MSC563AR",1.7638062479854,0.947603339390959,0.882266145018866,0.0353757473688842,"2020-04-02","MSC563AR",23.0184012820982,2.84929346253184,35.023445220534
"BLiMMP_MA_0075","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-09","21:22",19.3,"t0",0,0,"no","molybdate","unfiltered-molybdate",0.62,0.001,0.62,0.008,"1901-01-01",FALSE,"MSC549AR",1.5136797840598,1.01870027467364,0.906164937050141,0.0320019534479815,"2020-03-04","MSC549AR",40.959785981756,0.0981643006153476,68.4202152003696
"BLiMMP_MA_0075","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-10","18:11",19.3,"t1",0.867361,0.867361,"no","molybdate","unfiltered-molybdate",0.47,0.003,0.397,0.004,"1901-01-01",FALSE,"MSC566AR",1.73359960587875,0.992087561291464,0.839534540544337,0.0336712697296857,"2020-04-07","MSC566AR",27.1112198229741,0.302392663415184,47.2881079726146
"BLiMMP_MA_0076","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-09","21:11",19.3,"t0",0,0,"no","starch","unfiltered-starch",0.74,0,0.611,0.009,"1901-01-01",FALSE,"MSC547AR",3.88642397534215,1.13746165812486,1.07249976431848,0.0754850367489158,"2020-04-07","MSC547AR",19.0406400509829,0,56.9697094887716
"BLiMMP_MA_0076","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-10","18:14",19.3,"t1",0.877083,0.877083,"no","starch","unfiltered-starch",0.417,0.002,0.353,0.003,"1901-01-01",FALSE,"MSC567AR",1.21290469912858,0.899119718736593,0.684895637718903,0.0256430191689852,"2020-03-04","MSC567AR",34.3802773869701,0.22243978841998,51.5406991312856
"BLiMMP_MA_0077","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-09","21:17",19.3,"t0",0,0,"no","algal","unfiltered-algal",0.666,0.019,0.6,0.008,"1901-01-01",TRUE,"MSC548AR",2.11911076111155,1.90752478692899,1.17789833077698,0.042501905760562,"2020-04-02","MSC548AR",31.4282770028812,0.996055208833691,50.9381823815149
"BLiMMP_MA_0077","BLiMMP_sample_0035","BLiMMP_trip_006","2019-10-08","2019-10-10","18:04",19.3,"t1",0.865972,0.865972,"no","algal","unfiltered-algal",0.389,0.025,0.299,0.003,"1901-01-01",TRUE,"MSC564AR",1.94312591673369,1.67717612491203,0.955345042957236,0.0410812285304468,"2020-03-04","MSC564AR",20.0192893651428,1.49060075615561,31.2975926555767
