sulfurID,S_conc_uM,incubationID,sampleID,tripID,depth,startDate,dateCollected,filtered,amendment,incubationTimePoint,treatment,durationInDays
BLI20_TS_040,58.4,BLI20_MA_003,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,unamended,t1,unfiltered-unamended,0.869444
BLI20_TS_040,58.4,BLI20_MA_003,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,unamended,t1,unfiltered-unamended,0.869444
BLI20_TS_041,48.8,BLI20_MA_004,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,molybdate,t1,unfiltered-molybdate,0.8625
BLI20_TS_041,48.8,BLI20_MA_004,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,molybdate,t1,unfiltered-molybdate,0.8625
BLI20_TS_042,54.3,BLI20_MA_007,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,unamended,t1,unfiltered-unamended,0.866667
BLI20_TS_042,54.3,BLI20_MA_007,BLiMMP_sample_0046,BLiMMP_trip_010,20.7,2020-09-02,2020-09-02,no,unamended,t1,unfiltered-unamended,0.866667
BLI20_TS_046,1.88,BLI20_MA_023,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.463194
BLI20_TS_046,1.88,BLI20_MA_023,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.463194
BLI20_TS_047,2.25,BLI20_MA_025,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.471528
BLI20_TS_047,2.25,BLI20_MA_025,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.471528
BLI20_TS_048,2.27,BLI20_MA_027,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.477083
BLI20_TS_048,2.27,BLI20_MA_027,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,no,unamended,t2,unfiltered-unamended,3.477083
BLI20_TS_049,0.694,BLI20_MA_026,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,no,molybdate,t2,unfiltered-molybdate,3.479861
BLI20_TS_049,0.694,BLI20_MA_026,BLiMMP_sample_0050,BLiMMP_trip_010,11,2020-09-02,2020-09-03,no,molybdate,t2,unfiltered-molybdate,3.479861
