"sampleID","incubationID","startDate","depth","t","treatment","durationInDays","MeHg_198_ppt","HgT_198_ppt","Kmet"
"BLiMMP_sample_0082","BLI20_MA_108","2021-10-14",15.2,"t1","unfiltered-molybdate",1.05625,0.026,0.669681275776592,0.0367568655504658
"BLiMMP_sample_0082","BLI20_MA_109","2021-10-14",15.2,"t1","unfiltered-unamended",1.015278,0.045,0.565691057958627,0.0783516640264333
"BLiMMP_sample_0082","BLI20_MA_110","2021-10-14",15.2,"t1","unfiltered-molybdate",1.020139,0.031,0.793472340200511,0.038297511092971
"BLiMMP_sample_0082","BLI20_MA_111","2021-10-14",15.2,"t1","filtered-unamended",1.009028,0.001,0.686487269348063,0.0014436579085925
"BLiMMP_sample_0082","BLI20_MA_112","2021-10-14",15.2,"t1","filtered-unamended",1.032639,-0.001,0.557077268865784,-0.00173834526551023
"BLiMMP_sample_0085","BLI20_MA_113","2021-10-14",19.9,"t1","unfiltered-unamended",1.017361,0.044,0.747943073654045,0.0578241219212634
"BLiMMP_sample_0085","BLI20_MA_114","2021-10-14",19.9,"t1","unfiltered-molybdate",1.016667,0.002,0.661424206382382,0.00297420694734768
"BLiMMP_sample_0085","BLI20_MA_115","2021-10-14",19.9,"t1","unfiltered-unamended",1.017361,0.016,0.626748572974164,0.0250929397418937
"BLiMMP_sample_0085","BLI20_MA_116","2021-10-14",19.9,"t1","unfiltered-molybdate",1.021528,0.014,0.782539314372085,0.0175134454939195
"BLiMMP_sample_0085","BLI20_MA_117","2021-10-14",19.9,"t1","unfiltered-unamended",1.020139,0.022,0.541453328331605,0.039829265919907
"BLiMMP_sample_0085","BLI20_MA_118","2021-10-14",19.9,"t1","unfiltered-molybdate",1.018056,0.002,0.711851893730788,0.00275974327128595
"BLiMMP_sample_0085","BLI20_MA_119","2021-10-14",19.9,"t1","unfiltered-unamended",1.011806,0.027,0.622617868569935,0.0428592861530132
"BLiMMP_sample_0085","BLI20_MA_120","2021-10-14",19.9,"t1","unfiltered-molybdate",1.011111,0.004,0.659251842230839,0.00600080900401775
"BLiMMP_sample_0085","BLI20_MA_121","2021-10-14",19.9,"t1","filtered-unamended",1.016667,0.01,0.73510661150943,0.0133804569226158
"BLiMMP_sample_0085","BLI20_MA_122","2021-10-14",19.9,"t1","filtered-unamended",1.015972,0.002,0.791470745041313,0.00248721535311927
"BLiMMP_sample_0020","BLiMMP_MA_0021","2019-07-30",20,"t1","unfiltered-unamended",0.922222,0.013,0.90453118441659,0.0155841934272071
"BLiMMP_sample_0020","BLiMMP_MA_0022","2019-07-30",20,"t1","unfiltered-unamended",0.920833,0.035,0.844748362152446,0.0449945394813722
"BLiMMP_sample_0020","BLiMMP_MA_0023","2019-07-30",20,"t1","unfiltered-unamended",0.911806,0.031,1.45010738762646,0.0234454775479899
"BLiMMP_sample_0021","BLiMMP_MA_0024","2019-07-30",10.3,"t1","filtered-unamended",0.909722,-0.002,0.829190192607762,-0.0026513504851769
"BLiMMP_sample_0021","BLiMMP_MA_0025","2019-07-30",10.3,"t1","filtered-unamended",0.913194,0.001,0.851735340844472,0.00128567820855078
"BLiMMP_sample_0021","BLiMMP_MA_0026","2019-07-30",10.3,"t1","unfiltered-unamended",0.898611,0.001,0.918454020256485,0.00121163232127485
"BLiMMP_sample_0021","BLiMMP_MA_0027","2019-07-30",10.3,"t1","unfiltered-unamended",0.896528,-0.002,0.824035150169047,-0.00270720036816323
"BLiMMP_sample_0021","BLiMMP_MA_0028","2019-07-30",10.3,"t1","unfiltered-unamended",0.8875,0,0.73725166189264,0
