"sampleID","incubationID","startDate","depth","treatment","durationInDays_t0","durationInDays_t1","durationInDays_t2","HgT_198_ppt_t0","HgT_198_ppt_t1","HgT_198_ppt_t2","MeHg_198_ppt_t0","MeHg_198_ppt_t1","MeHg_198_ppt_t2","Kmet_assumption_t1","Kmet_assumption_t2","Kmet_assumption_slope","Kmet_int_t1","Kmet_int_t2","HgT_204_ppt_t0","HgT_204_ppt_t1","HgT_204_ppt_t2","MeHg_204_ppt_t0","MeHg_204_ppt_t1","MeHg_204_ppt_t2","MeHg_204_per_t0","MeHg_204_per_t1","MeHg_204_per_t2","Kdem_t1","Kdem_t2","Kdem_slope"
"BLiMMP_sample_0050","BLI20_MA_030","2020-09-02",11,"unfiltered-unamended",0,0.934028,3.509028,0.655,0.548,0.41,0.001,0.001,0.015,0,0.00609115852068627,0.00656228570390524,0.00163580125869158,0.00660213007178467,0.84,0.817,0.704,0.905,0.675,0.754,1.07738095238095,0.826193390452876,1.07102272727273,0.284209312622363,0.101707926763978,-0.0201652029409081
"BLiMMP_sample_0062","BLI20_MA_032","2020-10-10",20.9,"unfiltered-molybdate",0,0.9375,3.472222,1.004,0.9,0.768,0.001,0.047,0.112,0.048871181938911,0.0318406394880001,0.0305234185577468,0.0511401693853015,0.0340649784695982,1.175,1,0.963,1.057,1.024,1.02,0.899574468085106,1.024,1.05919003115265,-0.138186631813694,-0.0361831899009342,-0.0399917289695217
"BLiMMP_sample_0062","BLI20_MA_033","2020-10-10",20.9,"unfiltered-molybdate",0,0.95,3.477083,0.855,0.749,0.785,0.002,0.033,0.089,0.0381655894121268,0.029264295952933,0.0285761106239669,0.0414327093479793,0.0316125036981196,0.972,0.877,0.999,0.9,0.867,0.95,0.925925925925926,0.988597491448119,0.950950950950951,-0.0689400268889338,-0.00738197700445397,-0.00293272948393876
"BLiMMP_sample_0062","BLI20_MA_036","2020-10-10",20.9,"unfiltered-molybdate",0,0.954861,3.477778,0.975,0.945,0.823,0.004,0.05,0.117,0.0494097959592937,0.0333251391829599,0.0320819325120418,0.0551323527564976,0.0367571971269831,1.169,1.153,1.012,1.159,1.085,1.036,0.991445680068435,0.941023417172593,1.02371541501976,0.0546635962325223,-0.0126397550302544,-0.0141466841930862
"BLiMMP_sample_0062","BLI20_MA_039","2020-10-10",20.9,"unfiltered-unamended",0,0.896528,3.48125,0.913,0.852,0.734,0.001,0.074,0.377,0.0891842623877038,0.118299212846162,0.12054705227575,0.0942805736438374,0.152991517278037,1.101,1.029,0.987,1.072,0.936,1.028,0.973660308810173,0.909620991253644,1.04154002026342,0.0758866028328449,-0.0156001327468312,-0.0267124030321416
"BLiMMP_sample_0062","BLI20_MA_040","2020-10-10",20.9,"unfiltered-unamended",0,0.907639,3.486111,0.846,0.992,0.753,-0.005,0.118,0.44,0.16018490933288,0.150885823237524,0.150167251322792,0.165504469739111,0.21059748241077,1.034,1.141,0.95,1.001,0.967,1.04,0.968085106382979,0.847502191060473,1.09473684210526,0.146563312788044,-0.020554706636259,-0.0493190683780734
"BLiMMP_sample_0062","BLI20_MA_041","2020-10-10",20.9,"unfiltered-molybdate",0,0.897222,3.488889,0.9,0.875,0.81,0.001,0.055,0.117,0.0668730815784722,0.0369426739827174,0.0346321841167448,0.0702815311786123,0.0399158779008182,1.081,1.073,1.046,1.078,1.024,0.979,0.99722479185939,0.954333643988816,0.935946462715105,0.0489988774918354,0.00528666010336268,0.0157978164328757
"BLiMMP_sample_0062","BLI20_MA_043","2020-10-10",20.9,"unfiltered-unamended",0,0.911806,3.484722,0.741,0.691,0.709,0.003,0.142,0.276,0.205728351731709,0.105724661144154,0.0979946337588397,0.233316108010517,0.133716038096792,0.91,0.804,0.839,0.928,0.87,0.811,1.01978021978022,1.08208955223881,0.966626936829559,-0.0650432319971115,0.0657367669908902,0.021576339959665
"BLiMMP_sample_0062","BLI20_MA_044","2020-10-10",20.9,"unfiltered-unamended",0,0.915972,3.484028,0.767,0.758,0.699,-0.001,0.166,0.332,0.237705324094243,0.124614113686143,0.115870321735131,0.266265635665772,0.162783068987555,0.88,0.903,0.846,0.703,0.869,0.855,0.798863636363636,0.96234772978959,1.01063829787234,-0.203265588369507,-0.0194921526509576,-0.0569954517111189
"BLiMMP_sample_0062","BLI20_MA_045","2020-10-10",20.9,"filtered-unamended",0,0.920139,3.482639,0.883,0.889,0.782,0,0,0,0,0,0,0,0,1.006,1.012,0.969,0.811,0.822,0.608,0.806163021868787,0.812252964426877,0.627450980392157,-0.00817902703074271,0.0810049794054734,0.0781602849966658
