"uptakeID","sampleID","depth","startDate"
"BLI20_LEU_061","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_062","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_063","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_064","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_065","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_066","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_067","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_068","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_069","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_070","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_071","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_072","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_073","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_074","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_075","BLiMMP_sample_0052","20.1","2020-09-17"
"BLI20_LEU_076","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_077","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_078","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_079","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_080","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_081","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_082","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_083","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_084","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_085","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_086","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_087","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_088","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_089","BLiMMP_sample_0053","14.1","2020-09-17"
"BLI20_LEU_090","BLiMMP_sample_0053","14.1","2020-09-17"
